"","V1","V2","V3","V4","V5","V6"
"90","FALSE","FALSE","Los Angeles, CA","4347","FALSE","Twitter Web Client"
"91","FALSE","FALSE","Los Angeles, CA","53719",NA,"Twitter for iPhone"
"92","FALSE","FALSE","Los Angeles, CA","53719",NA,"Twitter for iPhone"
"93","FALSE","FALSE","Los Angeles, CA","53719",NA,"Twitter for iPhone"
"94","FALSE","FALSE","Los Angeles, CA","53719",NA,"Twitter for iPhone"
"95","FALSE","FALSE","Los Angeles, CA","53719",NA,"Twitter for iPhone"
"96","FALSE","FALSE","Los Angeles, CA","53719",NA,"Twitter for iPhone"
"97","FALSE","FALSE","Los Angeles, CA","53719",NA,"Twitter for iPhone"
"98","FALSE","FALSE","Los Angeles, CA","53719",NA,"Twitter for iPhone"
"99","FALSE","FALSE","Barcelona, Spain","233","FALSE","Twitter for Android"
"100","FALSE","FALSE","","205","FALSE","Twitter for Android"
"101","FALSE","FALSE","Everywhere","2443","FALSE","React Dev autobot"
"102","FALSE","FALSE","Everywhere","2443","FALSE","React Dev autobot"
"103","FALSE","FALSE","Everywhere","2443","FALSE","React Dev autobot"
"104","FALSE","FALSE","Everywhere","2443","FALSE","React Dev autobot"
"105","FALSE","FALSE","Everywhere","2443","FALSE","React Dev autobot"
"106","FALSE","FALSE","Everywhere","2443","FALSE","React Dev autobot"
"107","FALSE","FALSE","Everywhere","2443","FALSE","React Dev autobot"
"108","FALSE","FALSE","Everywhere","2443","FALSE","React Dev autobot"
"109","FALSE","FALSE","Everywhere","2443","FALSE","React Dev autobot"
"110","FALSE","FALSE","Everywhere","2443","FALSE","React Dev autobot"
"111","FALSE","FALSE","Everywhere","2443","FALSE","React Dev autobot"
"112","FALSE","FALSE","Cloud","1596","FALSE","JsCode"
"113","FALSE","FALSE","Cloud","1596","FALSE","JsCode"
"114","FALSE","FALSE","Cloud","1596","FALSE","JsCode"
"115","FALSE","FALSE","Cloud","1596","FALSE","JsCode"
"116","FALSE","FALSE","Cloud","1596","FALSE","JsCode"
"117","FALSE","FALSE","Cloud","1596","FALSE","JsCode"
"118","FALSE","FALSE","Cloud","1596","FALSE","JsCode"
"119","FALSE","FALSE","","63","TRUE","Twitter for Android"
"120","FALSE","FALSE","","4938","FALSE","Tweetbot for Mac"
"121","FALSE","FALSE","","21","TRUE","Twitter for iPhone"
"122","FALSE","FALSE","Singapore","1570","FALSE","DS-retweet"
"123","FALSE","FALSE","Singapore","1570","FALSE","DS-retweet"
"124","FALSE","FALSE","Singapore","1570","FALSE","DS-retweet"
"125","FALSE","FALSE","Singapore","1570","FALSE","DS-retweet"
"126","FALSE","FALSE","Singapore","1570","FALSE","DS-retweet"
"127","FALSE","FALSE","Singapore","1570","FALSE","DS-retweet"
"128","FALSE","FALSE","Singapore","1570","FALSE","DS-retweet"
"129","FALSE","FALSE","Singapore","1570","FALSE","DS-retweet"
"130","FALSE","FALSE","Singapore","1570","FALSE","DS-retweet"
"131","FALSE","FALSE","Sri Lanka","1518","FALSE","Serverless Tweet/Retweet Bot"
"132","FALSE","FALSE","Sri Lanka","1518","FALSE","Serverless Tweet/Retweet Bot"
"133","FALSE","FALSE","Sri Lanka","1518","FALSE","Serverless Tweet/Retweet Bot"
"134","FALSE","FALSE","Sri Lanka","1518","FALSE","Serverless Tweet/Retweet Bot"
"135","FALSE","FALSE","Sri Lanka","1518","FALSE","Serverless Tweet/Retweet Bot"
"136","FALSE","FALSE","Sri Lanka","1518","FALSE","Serverless Tweet/Retweet Bot"
"137","FALSE","FALSE","Sri Lanka","1518","FALSE","Serverless Tweet/Retweet Bot"
"138","FALSE","FALSE","Zurich, Switzerland","179","FALSE","Twitter for Android"
"139","FALSE","FALSE","Pune","365","FALSE","Twitter for Android"
"140","FALSE","FALSE","","400","FALSE","javascript-twitter-bot"
"141","FALSE","FALSE","Bailiwick of Jersey","41","FALSE","Twitter for iPhone"
"142","FALSE","FALSE","Lund University, Sweden","3826","FALSE","Twitter for Android"
"143","FALSE","FALSE","Melbourne, Victoria","292","FALSE","Twitter for Android"
"144","FALSE","FALSE","Jax,FL","5418","FALSE","Media_Post_V_1"
"145","FALSE","FALSE","Singapore","8",NA,"Twitter Web App"
"146","FALSE","FALSE","Nanjing, China","93","FALSE","Twitter for iPhone"
"147","FALSE","FALSE","Mysore  and  BERLIN ","4052","FALSE","Twitter for Android"
"148","FALSE","FALSE","Mysore  and  BERLIN ","4052","FALSE","Twitter for Android"
"149","FALSE","FALSE","Mysore  and  BERLIN ","4052","FALSE","Twitter for Android"
"150","FALSE","FALSE","Mysore  and  BERLIN ","4052","FALSE","Twitter for Android"
"151","FALSE","FALSE","España/Uruguay/Chile","618",NA,"Hootsuite Inc."
"152","FALSE","FALSE","Dallas, TX","837","FALSE","Twitter for Android"
"153","FALSE","FALSE","Paris, France","2080",NA,"IFTTT"
"154","FALSE","FALSE","Paris, France","2080",NA,"IFTTT"
"155","FALSE","FALSE","Paris, France","1491",NA,"IFTTT"
"156","FALSE","FALSE","Paris, France","1491",NA,"IFTTT"
"157","FALSE","FALSE","Zürich","2548",NA,"IFTTT"
"158","FALSE","FALSE","Zürich","2548",NA,"IFTTT"
"159","FALSE","FALSE","Zürich","2548",NA,"IFTTT"
"160","FALSE","FALSE","The Cloud","632","FALSE","NMC bot"
"161","FALSE","FALSE","The Cloud","632","FALSE","NMC bot"
"162","FALSE","FALSE","The Cloud","632","FALSE","NMC bot"
"163","FALSE","FALSE","The Cloud","632","FALSE","NMC bot"
"164","FALSE","FALSE","The Cloud","632","FALSE","NMC bot"
"165","FALSE","FALSE","The Cloud","632","FALSE","NMC bot"
"166","FALSE","FALSE","","881","FALSE","inter discipl"
"167","FALSE","FALSE","TURKEY","1964","FALSE","Twitter for Android"
"168","FALSE","FALSE","TURKEY","1964","FALSE","Twitter for Android"
"169","FALSE","FALSE","TURKEY","1964","FALSE","Twitter for Android"
"170","FALSE","FALSE","Melbourne, Victoria","1899","FALSE","Data NVS"
"171","FALSE","FALSE","Melbourne, Victoria","1899","FALSE","Data NVS"
"172","FALSE","FALSE","Melbourne, Victoria","1899","FALSE","Data NVS"
"173","FALSE","FALSE","Melbourne, Victoria","1899","FALSE","Data NVS"
"174","FALSE","FALSE","Web","1170","FALSE","VuePackage"
"175","FALSE","FALSE","Web","1170","FALSE","VuePackage"
"176","FALSE","FALSE","","35","FALSE","Twitter Web Client"
"177","FALSE","FALSE","","35","TRUE","Twitter Web Client"
"178","FALSE","FALSE","","35","FALSE","Twitter Web Client"
"179","FALSE","FALSE","","35","FALSE","Twitter Web Client"
"180","FALSE","FALSE","Germany, Europe, Earth","941",NA,"IFTTT"
"181","FALSE","FALSE","Germany, Europe, Earth","941",NA,"IFTTT"
"182","FALSE","FALSE","Germany, Europe, Earth","941",NA,"IFTTT"
"183","FALSE","FALSE","Paris, France","2151",NA,"IFTTT"
"184","FALSE","FALSE","Paris, France","2151",NA,"IFTTT"
"185","FALSE","FALSE","Paris, France","1434",NA,"IFTTT"
"186","FALSE","FALSE","Paris, France","1434",NA,"IFTTT"
"187","FALSE","FALSE","","107","TRUE","Twitter for iPhone"
"188","FALSE","FALSE","Dhaka, Bangladesh","180","FALSE","Twitter for Android"
"189","FALSE","FALSE","","66490",NA,"r-bloggers.com"
"190","FALSE","FALSE","","66490",NA,"r-bloggers.com"
"191","FALSE","FALSE","","66490",NA,"r-bloggers.com"
"192","FALSE","FALSE","","66490",NA,"r-bloggers.com"
"193","FALSE","FALSE","","66490",NA,"r-bloggers.com"
"194","FALSE","FALSE","","66490",NA,"r-bloggers.com"
"195","FALSE","FALSE","Wien, Österreich","3007","FALSE","LoRaAustria_Schnittstelle"
"196","FALSE","FALSE","Zürich","547","FALSE","Twitter for iPhone"
"197","FALSE","FALSE","Trondheim, Norway","2617","FALSE","Twitter for iPhone"
"198","FALSE","FALSE","Hong Kong","937","TRUE","Twitter for iPhone"
"199","FALSE","FALSE","Écosse, Royaume-Uni","58","FALSE","Twitter for Android"
"200","FALSE","FALSE","Chennai","266","FALSE","dqserv-bot"
"201","FALSE","FALSE","Bern, Switzerland","405","FALSE","Twitter Web App"
"202","FALSE","FALSE","Berkeley, CA","74","FALSE","Twitter Web Client"
"203","FALSE","FALSE","Chennai, India","145","FALSE","Twitter Web Client"
"204","TRUE","FALSE","Virginia, USA","64786","FALSE","dlvr.it"
